CDIVLS,URBRURS,WKTIME,MILEBIN,AVGDIST,NRAW,NWTD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ENC,URB,WEEKDAY,100-300,152.439715517,232.0,70156116.1636,1630.29583206,139836.341742,0.0,70742.3315289,2158793.96899,3235740.31861,3192448.6151,4127497.82798,4166770.25437,7165189.4122,6691468.53866,6511500.20969,5488854.54133,4250716.95249,4719169.34949,4929547.29054,6348969.15449,2497383.10756,1480278.87935,712830.406087,1171760.24649,540304.238355,512101.02888,42582.8538852
ENC,URB,WEEKEND,0-2,1.10538411669,3085.0,2327698822.01,5597943.90094,5338301.77397,2167067.55279,789344.769663,3806520.61646,9475485.7853,31746020.6893,68358148.8575,126483549.469,163933040.705,205967406.299,199704706.579,205987848.196,182595665.192,156071971.977,151376787.154,148117632.614,146432387.954,178556175.497,126847130.147,89216418.5183,67690399.7626,33896657.5456,17542210.4552
ENC,URB,WEEKEND,2-5,3.24742025406,2834.0,2311739978.16,5868403.12291,6496807.61293,612759.414784,260845.019055,6261945.4235,13705403.9344,29120649.5153,63010751.6481,114695335.951,165959454.365,188705607.759,201543308.535,194309102.596,188691092.116,166202843.611,147774641.486,137483149.812,149698416.4,184093274.067,127651847.53,84938837.8535,69913496.8281,44775128.0259,19966875.5337
ENC,URB,WEEKEND,5-10,7.1140828441,1533.0,1144391768.13,7012614.19175,1547885.3996,1498326.467,1550853.01585,4328863.96007,9428416.67113,17148565.8206,38280923.0139,54841423.3042,78223878.6875,84341520.462,85192921.9507,93825684.1182,81859391.1656,87717422.1496,75132307.9012,75588729.7994,75359832.3109,89131914.7468,64136308.3988,48090399.8251,33179773.2,24766933.5684,12206878.0017
ENC,URB,WEEKEND,10-20,14.040648283,961.0,726156478.302,5395884.9691,3445206.85375,2660020.26872,361171.598978,4918147.35036,10103401.3881,16976694.8539,22376675.5007,35986114.0497,39128028.2128,43961100.0494,39711524.6843,58464316.3692,44977269.7673,48568657.957,47838490.2172,55547136.6101,52503540.5477,60208879.596,41490597.4656,31355393.3907,25790250.8896,25074104.421,9313871.29085
ENC,URB,WEEKEND,20-30,24.009827381,336.0,270530955.236,1596334.84005,891670.003518,139498.716855,851568.05384,2199556.58403,6044020.65826,9728680.50251,13064568.2517,9910332.77708,17584754.2138,14037880.3056,15465729.6511,19824325.866,14998138.6031,17407542.2242,20839789.3629,20218533.6908,18856820.6089,19052895.6465,13851677.7384,10255183.4959,10757650.314,7042185.85061,5911617.27628
ENC,URB,WEEKEND,30-50,38.6430214592,233.0,158182733.878,309188.939626,870569.932035,412449.711019,60138.9241912,2277969.26476,4123269.74313,5592376.61862,5103331.45664,8128169.00472,6132938.81411,7497674.5291,10718510.1356,12414437.5651,10723115.5293,12309721.0314,15108477.2325,10216323.0205,10875868.0242,11810175.6319,5552586.93425,5663521.85748,4345529.45663,5902943.67674,2033446.84444
ENC,URB,WEEKEND,50-100,70.099873494,166.0,98861824.2025,394013.997511,427411.797486,0.0,0.0,3379931.65252,1631773.22113,2394760.35637,2434818.26618,5102677.64193,8465942.0313,7437151.85628,5920693.69376,6669768.22382,5865576.08348,3660210.32575,7211364.86151,8392320.91316,7814053.15677,7634098.39924,5720624.15489,3858947.90597,2466515.27443,1480118.09318,499052.295834
ENC,URB,WEEKEND,100-300,155.354560748,107.0,57803931.7591,217485.375374,102197.529746,0.0,282331.2477,765282.840021,1611455.56372,1996619.98595,4641429.6162,2932181.52042,3545253.06174,6149248.66361,4031408.96272,2831866.76624,4358312.34817,2704141.12273,4768228.11364,2461157.0751,3603189.19998,4010988.75023,3675143.51606,2105999.27633,566354.749827,435232.140446,8424.33318037
ESC,RUR,WEEKDAY,0-2,1.00645098039,357.0,700200287.592,436974.740903,3111.49022955,19308.1237556,564280.891153,1497123.63888,5806837.56904,18330287.9627,45623267.8273,42184342.7349,43662646.4412,49850548.5828,70178149.6462,78671918.2697,57475842.4423,47043926.0638,61603784.4217,62220377.4881,43170499.446,30953462.7341,18205727.4952,13475450.5096,5295723.59508,2535412.82368,1391282.65372
ESC,RUR,WEEKDAY,2-5,3.29964370546,421.0,826116559.221,486189.128516,741669.216593,433413.317373,196418.394563,2773816.76029,6723665.12651,27580592.5297,75273729.9064,42623706.6427,59052178.6887,52865991.3705,58247276.0552,64214430.779,54208979.1817,64895510.8364,77037940.9537,70894146.1537,66110597.3346,47359936.5814,23414987.3819,16673189.641,7960737.53987,4559236.05261,1788219.64792
ESC,RUR,WEEKDAY,5-10,7.24325336927,371.0,807587960.817,912209.020681,800156.737893,223214.422439,121092.99957,5642876.64525,13997021.5473,36949554.6003,89333235.1306,50397195.7838,51397892.5338,45210720.8523,55336773.1184,52018964.1832,48475992.9837,54243782.467,66125690.4739,81719090.2371,63129888.6736,36642372.2076,25727984.2453,12822083.6459,10895809.7575,3610029.81402,1854328.73598
ESC,RUR,WEEKDAY,10-20,13.9791256684,374.0,849733881.268,3345470.58836,325887.328711,745510.269244,640532.45735,9718519.77615,32151240.5053,57200652.1613,86286061.1002,54587158.1875,42347947.4889,45399615.5216,44913453.3253,44417544.7985,43619546.6469,62451888.2467,76392494.7658,81303679.815,72533042.4145,31960358.9826,20233047.6894,17801793.9461,10031557.5424,6329729.60448,4997148.1059
ESC,RUR,WEEKDAY,20-30,23.930562963,135.0,278903452.233,1804197.04787,193361.428069,737911.231764,671485.356017,5587038.9989,13245406.7536,26930404.3044,24833978.7819,14687888.6173,14128035.4491,13678848.332,12000151.5693,13956038.5503,17511556.8131,16103597.1012,26234829.4643,28645911.1968,24649100.357,7938342.34058,4655418.4472,3087523.65726,2657613.95395,1756545.82152,3208266.65957
ESC,RUR,WEEKDAY,30-50,37.7340989011,91.0,208626859.184,184832.744518,58313.8023073,103242.731666,1778986.7026,7141496.84643,18162832.155,22407709.7347,16893752.8085,11109279.0457,10831927.2425,7629743.34855,8477928.06397,8603577.94122,12221371.6498,12972969.9451,14203382.3171,24428982.149,13728668.4868,6135599.99349,3362895.51271,2795595.93092,3371626.34159,1688888.67789,333255.011847
ESC,RUR,WEEKDAY,50-100,63.8858787879,33.0,84976369.9412,63405.1268777,183414.147518,109045.655477,157831.818867,3066436.68724,4035412.17941,7811786.94743,4167640.05829,4546391.09893,5448279.28775,2939265.31004,7992769.13758,4154817.01203,4833118.93927,5739849.95624,7576398.91365,10906572.0315,5649144.24633,2846360.97917,1263762.66089,341292.77683,323923.974484,494854.492164,324596.503291
ESC,RUR,WEEKDAY,100-300,151.458818182,11.0,40473192.5964,0.0,1450570.0924,0.0,104277.889592,1459421.9612,1177369.92064,3393578.15141,2384560.53457,2671577.65194,3653483.33861,2135507.31686,3119937.5928,4334070.70124,4334900.66889,2785687.11067,2584056.07544,1089464.28523,2639592.94009,688849.866835,99593.0803842,228980.063871,69023.317655,68690.0360533,0.0
ESC,RUR,WEEKEND,0-2,1.03801075269,93.0,227420699.939,21872.5885548,588824.022218,2910.57953898,0.0,519731.174501,1294746.2267,2328478.81429,5698445.15787,12042745.4467,19804293.119,20569633.4808,24741376.2067,20567820.4385,19977977.9522,18768321.3226,15112279.4725,11449297.7296,10822083.7361,16259895.1116,12595773.8785,6699326.53656,3229520.87603,2634937.20654,1690408.8612
ESC,RUR,WEEKEND,2-5,3.31560839161,143.0,341175777.927,2185761.60042,483323.545499,0.0,463827.524008,679817.449338,1239655.32846,6664540.02549,12015410.1609,22691584.3406,27469220.9442,24325193.4804,25295514.9387,31221716.2198,25601419.9617,20598495.3474,22558570.9735,18684816.3611,24879473.1625,25168692.3006,20736222.4884,11947103.5984,10605176.3174,3363561.86841,2296679.98977
ESC,RUR,WEEKEND,5-10,6.87529166667,96.0,221083120.738,816555.21874,311041.170801,19410.9227146,7153.2140693,127300.250169,2311523.60337,3492186.09093,7852080.77894,14930867.5141,17729791.3127,15936857.3905,21280217.5638,20424947.5684,15172015.4748,12457120.2798,16466120.6263,12604236.1086,14218520.4004,14844807.6643,11647314.5483,6332985.07453,5759638.44794,3259784.62606,3080644.8878
ESC,RUR,WEEKEND,10-20,13.3120983607,122.0,291579217.156,1627554.8578,361063.974561,280403.049905,1085486.22984,2232522.47087,3275878.58639,4946586.52087,9379654.55347,17822586.2753,21091151.3351,22874208.7051,19233380.3457,24288532.4167,23203704.5732,22003710.1163,19262043.0208,16644134.1091,16148458.8884,21026449.9256,12507951.7289,10350266.4544,12581779.3962,6908706.40307,2443003.21838
ESC,RUR,WEEKEND,20-30,24.0939166667,36.0,101761049.638,39167.1705212,68171.2444479,16016.1514818,58383.5416784,1011642.72989,737791.061282,2962982.74742,3769255.71119,4264841.93145,5958509.25207,7673205.14399,8130219.76105,4895249.21894,6250670.64625,7438180.1236,5667756.82526,10987565.9437,7615667.87345,7971757.23348,3847272.08012,5773394.63795,3562964.80077,2309012.29903,751371.508922
ESC,RUR,WEEKEND,30-50,36.3637777778,18.0,46248261.154,26782.4664702,110599.875269,6787.86417298,0.0,230834.513426,1871366.07901,960058.778546,1857690.66923,3137722.06552,2439064.21251,4019668.29473,3634717.51792,3024233.75883,3523597.26426,2919554.10873,2284206.44991,3236149.152,2091664.56658,4725221.02688,3531095.68498,1368731.90447,629790.682701,426432.056136,192292.161702
ESC,RUR,WEEKEND,50-100,74.8245263158,19.0,38804337.4384,749870.072855,33695.9564704,0.0,0.0,269886.180988,305571.836015,676855.611553,2360467.02274,2833123.43179,4585995.25155,3163956.68195,1842420.89236,1391350.39831,2948038.49936,2337739.61805,2542512.13018,1788397.30671,1942572.66254,3112500.53494,2823775.58614,785467.306945,1771970.7391,504634.750553,33534.9672808
ESC,RUR,WEEKEND,100-300,176.519714286,7.0,12612128.216,48932.6575023,0.0,0.0,61044.6886547,25519.9637688,91813.3926483,269354.746706,335557.839208,945222.153595,1057171.34273,1051810.82239,644760.504572,2543485.02343,383210.586123,1195594.82013,1002253.13947,1214233.6631,359768.039793,251157.994257,523903.383272,545251.427022,40089.7401506,5325.82826584,16666.4592129
ESC,URB,WEEKDAY,0-2,1.08776923077,806.0,1983538040.63,2602720.30693,1156678.57414,350291.970699,1202693.51261,6121085.44053,19898982.6982,59506448.7599,160284933.712,142840043.685,119646405.049,131446122.605,158486664.273,167396588.047,147197831.746,150671143.072,167133061.651,152360828.266,146645528.013,97137783.2514,61690247.4226,46238793.1995,26420569.7555,12008633.9022,5093961.71802
ESC,URB,WEEKDAY,2-5,3.28235343788,829.0,2042913397.51,3647326.57574,1681380.49512,609157.06388,453105.644684,7119397.35583,30539590.7519,77574221.6682,173170647.446,137210483.612,121313428.813,119040558.792,145912141.356,150324902.46,133948640.946,155864469.126,155664924.382,183045715.8,163227919.058,107057040.886,73875391.876,50960732.4824,28675100.5371,17292333.4182,4704786.96428
ESC,URB,WEEKDAY,5-10,7.18063516068,529.0,1124453055.93,3940414.21845,1462695.23185,1080210.37052,522907.876315,9353204.68847,25191495.8711,58767512.5116,109143869.673,79125618.5751,62397866.7396,59224278.835,62479894.0336,66063658.5943,64923509.0705,76236816.3349,92835246.9772,105029770.714,95282051.2442,52153559.9913,34358774.2555,27480931.8261,19889417.0437,12168192.3651,5341158.88827
ESC,URB,WEEKDAY,10-20,14.0102682216,343.0,714662729.629,1130166.02844,1104982.36752,884439.002312,412228.189954,9345050.4917,23368772.0211,61291682.1368,75486148.0314,51594466.9986,32934704.6701,28159289.5442,33429737.6314,32756806.4422,35436948.7776,46153151.0703,60855689.2437,74736322.9464,57964074.3655,29537110.1547,19722513.2599,14830986.0719,11282067.6097,8928787.82652,3316604.74642
ESC,URB,WEEKDAY,20-30,23.93988,150.0,351764395.351,817736.864439,734774.517754,180208.215519,378838.450785,8621818.74676,19312056.8614,35299837.3446,39216316.3428,21117874.3217,11154551.297,11367970.3348,11359730.3061,13714709.6716,13665513.5646,18898945.8089,32957339.3101,40574513.0899,29963729.6404,13582024.6254,10287267.6946,7214546.0456,5213469.24912,4278395.36017,1852227.68712
ESC,URB,WEEKDAY,30-50,37.3668888889,72.0,173825652.789,628246.354493,1140994.53016,131298.313475,199390.500301,5577867.7298,10654665.9571,16615261.7986,13234744.8418,10391177.5208,6299794.51607,7997770.50172,5909085.88142,6900064.29384,9255383.22413,11433284.7952,14013006.4335,19521878.79,15544691.1508,6305438.73568,3730404.15515,2777802.59748,2818750.0641,1829795.1409,914854.962555
ESC,URB,WEEKDAY,50-100,70.1065384615,39.0,99253724.9239,302913.828107,144069.00967,141734.25017,254910.693336,3484480.34517,6088011.09629,7229755.60546,7250306.57979,6376282.55776,5108946.04825,5326558.78738,6152180.96518,6372733.16913,7005134.98319,5640551.86202,7820211.42852,8825503.4237,6938499.2657,2970148.23775,2363905.376,990832.518767,713660.308981,1393576.60267,358817.980908
ESC,URB,WEEKDAY,100-300,166.57069697,33.0,64801155.9806,1505.85665634,129162.745724,0.0,65342.6259964,1994014.95356,2988758.85047,2948771.56804,3812449.22305,3848724.01657,6618276.24049,6180714.10199,6014482.6115,5069894.66831,3926263.13043,4358958.93099,4553278.89222,5864357.42162,2306759.85425,1367290.37753,658420.631849,1082320.72493,499063.248384,473012.76731,39332.538738
ESC,URB,WEEKEND,0-2,1.12560245902,244.0,598019471.108,1438192.69885,1371486.88365,556750.976338,202794.080236,977950.164468,2434389.25356,8156011.5608,17562196.4659,32495452.007,42116767.5872,52916003.658,51307025.5812,52921255.4769,46911465.561,40097145.4097,38890884.5662,38053560.6583,37620596.9473,45873662.2727,32588861.1383,22920987.4198,17390642.0721,8708541.25373,4506847.41484
ESC,URB,WEEKEND,2-5,3.28007722008,259.0,617714331.983,1568081.50965,1735995.92193,163733.930349,69699.7535273,1673238.97615,3662187.14728,7781256.85941,16836947.3772,30647457.5418,44345616.0546,50423559.5437,53853889.8723,51920855.5643,50419680.8547,44410651.4941,39486497.1025,36736533.0215,40000544.2478,49191109.2455,34109535.0119,22696297.1527,18681412.8742,11964251.412,5335299.51404
ESC,URB,WEEKEND,5-10,7.04966321244,193.0,453621367.104,2779705.10207,613560.767075,593916.278723,614737.089884,1715902.92962,3737296.42164,6797458.77945,15174038.3977,21738395.9811,31006883.9873,33431834.1682,33769318.1646,37191227.9382,32447951.7985,34769995.7851,29781427.2812,29962346.7279,29871614.8697,35330681.4555,25422762.2979,19062381.8877,13152011.8357,9817276.37087,4838640.78843
ESC,URB,WEEKEND,10-20,14.0136491228,114.0,262545447.918,1950908.76203,1245631.49075,961743.41728,130583.368822,1778180.37518,3652934.48752,6138007.56141,8090397.13588,13010956.611,14146931.1371,15894352.0416,14357897.1575,21138061.2678,16261753.2034,17560237.2755,17296241.5362,20083340.5714,18982913.4385,21768816.6869,15001129.6759,11336696.7704,9324592.11487,9065665.83521,3367475.99584
ESC,URB,WEEKEND,20-30,24.3670434783,46.0,106760287.614,629965.493238,351881.898134,55050.7172838,336056.36838,868016.354467,2385166.54502,3839252.80435,5155702.2851,3910938.68245,6939514.24469,5539802.7838,6103278.43729,7823321.84264,5918751.84689,6869580.64704,8224056.66759,7978889.03353,7441512.89427,7518890.46238,5466321.21268,4047027.95877,4245317.65901,2779074.89805,2332915.87696
ESC,URB,WEEKEND,30-50,39.6622857143,28.0,63675181.9923,124461.510546,350440.895162,166028.300106,24208.4382335,916978.129981,1659788.93436,2251166.04215,2054304.86187,3271928.78737,2468764.9882,3018128.32827,4314649.68925,4997331.57918,4316503.55328,4955178.78425,6081795.48943,4112498.32186,4377992.83643,4754090.81819,2235149.02606,2279804.98346,1749257.78699,2376182.30316,818547.604513
ESC,URB,WEEKEND,50-100,78.8828571429,14.0,38035092.4699,151588.936889,164438.066678,0.0,0.0,1300360.51815,627791.828205,921335.736342,936747.209033,1963152.28371,3257100.4086,2861294.1431,2277867.45738,2566058.77134,2256662.06874,1408192.08347,2774427.15178,3228776.1686,3006299.31503,2937065.35239,2200894.73841,1484652.35822,948941.993517,569445.577145,192000.303175
ESC,URB,WEEKEND,100-300,151.392071429,14.0,41875278.2705,157554.345118,74035.621219,0.0,204531.062198,554398.825587,1167397.23576,1446424.40346,3362421.04709,2124179.33124,2568310.73565,4454740.20723,2920499.8172,2051507.66138,3157320.56307,1958978.54265,3454278.50735,1782952.02854,2610281.78912,2905706.66984,2662408.12235,1525662.75424,410288.055277,315298.050475,6102.89448202
MAT-NL,RUR,WEEKDAY,0-2,0.951098684211,152.0,254018889.952,158525.839804,1128.78744584,7004.60746785,204710.006739,543127.004671,2106606.43755,6649867.87825,16551224.0638,15303649.6911,15839949.1944,18084798.3625,25459252.1424,28540624.3091,20851104.9695,17066610.9247,22348641.1145,22572328.9493,15661407.9461,11229307.3614,6604679.79099,4888628.35491,1921184.34247,919797.895621,504729.977364
MAT-NL,RUR,WEEKDAY,2-5,3.28031111111,225.0,383110376.762,225469.515318,343948.041992,200994.808128,91088.7504964,1286353.56869,3118090.11826,12790460.4712,34908084.9461,19766683.1982,27385363.6918,24516528.1409,27012091.2428,29779350.7402,25139336.8241,30095200.646,35726235.3046,32877059.2237,30658695.2774,21963103.0811,10858667.0218,7732167.92944,3691780.68659,2114339.22049,829284.312731
MAT-NL,RUR,WEEKDAY,5-10,6.99208658009,231.0,381626319.778,431065.083088,378114.689598,105480.149148,57222.5912458,2666545.753,6614303.43211,17460540.8001,42214489.8276,23815234.1135,24288114.142,21364361.3458,26149435.2296,24581602.0336,22907368.2342,25632941.6461,31247746.5276,38616419.7287,29832078.0539,17315381.5212,12157778.9903,6059085.61184,5148823.38582,1705922.39986,876264.488213
MAT-NL,RUR,WEEKDAY,10-20,13.5663668639,169.0,326440451.684,1285222.2961,125195.439569,286401.089084,246071.98713,3733543.00136,12351473.4485,21974652.4645,33148331.9431,20970632.0622,16268720.6088,17441073.4041,17254305.5107,17063793.3903,16757228.1435,23992008.6243,29347541.6791,31234261.1581,27864864.106,12278142.9013,7772886.74995,6838877.18808,3853802.05196,2431678.71339,1919743.72304
MAT-NL,RUR,WEEKDAY,20-30,24.6226119403,67.0,113710146.879,735578.95992,78834.2926929,300849.60898,273767.491397,2277860.02682,5400209.76923,10979642.6127,10124920.8365,5988315.88009,5760061.31572,5576925.78028,4892513.83082,5689937.43426,7139537.64773,6565506.36788,10696053.7342,11679062.2116,10049545.101,3236496.59513,1898034.28812,1258796.78344,1083520.73318,716151.34831,1308024.22905
